CCU_ID,Cost_per_ton_USD,Efficiency_percent,Capacity_tons_per_year,Energy_consumption_MWh_per_ton,Age_years,Ambient_temperature_C,Effectiveness_Score
CCU_53,103.49,80.12,303987,3.26,4.5,25.4,1
CCU_54,75.47,83.74,341499,2.93,4.9,22.1,3
CCU_55,116.87,81.91,613514,3.57,4.5,25.2,0
CCU_56,98.34,90.55,468917,2.33,4.2,28.0,2
CCU_57,99.96,76.22,465299,3.8,5.7,23.5,0
CCU_58,102.35,83.09,269624,3.07,3.7,25.2,1
CCU_59,49.33,85.95,336919,2.81,5.2,21.5,5
CCU_60,97.79,83.73,204367,3.14,4.8,18.1,2
CCU_61,70.57,88.25,683814,2.84,4.5,28.3,3
CCU_62,77.97,82.95,297932,2.87,4.7,24.8,3
CCU_63,63.88,87.47,645856,2.88,3.2,24.1,4
CCU_64,99.89,84.07,557166,3.0,6.8,14.7,1
CCU_65,70.59,85.82,77243,2.92,2.2,23.9,4
CCU_66,68.79,86.77,346120,2.59,4.9,23.1,4
CCU_67,66.15,87.0,926562,2.8,6.1,28.3,3
CCU_68,60.13,88.94,514017,3.07,4.2,15.8,5
CCU_69,95.78,85.54,426716,3.18,3.1,18.9,2
CCU_70,35.36,93.75,725518,2.82,4.6,24.9,5
CCU_71,64.24,90.03,526695,2.94,4.9,13.3,5
CCU_72,91.39,90.76,422523,2.67,1.0,23.4,3
CCU_73,58.53,89.09,569709,2.99,4.2,19.4,5
CCU_74,63.53,88.73,429102,2.66,5.1,22.5,4
CCU_75,70.76,88.96,529460,2.55,5.0,26.0,4
CCU_76,88.86,81.17,468586,3.38,7.4,28.3,1
CCU_77,107.88,83.63,310753,2.93,1.7,28.5,1
CCU_78,104.3,83.45,763715,3.39,4.5,21.3,0
CCU_79,113.81,73.88,71658,3.52,7.1,18.3,0
CCU_80,31.16,91.66,720035,2.55,5.8,28.8,5
CCU_81,49.03,84.94,570387,2.85,5.4,18.5,5
CCU_82,63.37,91.97,776177,2.6,4.9,21.3,4
CCU_83,57.81,87.84,930337,2.55,7.0,34.0,3
CCU_84,85.07,79.31,370653,3.3,5.3,28.8,1
CCU_85,96.15,85.76,126024,2.85,5.5,18.9,2
CCU_86,54.82,88.46,395669,2.57,7.7,16.5,5
CCU_87,73.1,86.22,891876,3.12,5.4,23.3,3
CCU_88,100.47,78.32,96745,3.33,5.2,30.7,0
CCU_89,100.5,73.6,154848,3.88,7.3,17.4,0
CCU_90,105.17,79.37,274451,3.24,5.1,26.1,0
CCU_91,95.77,87.35,616468,3.1,2.0,24.0,2
CCU_92,78.32,91.5,420719,2.51,1.0,32.3,4
CCU_93,96.16,91.52,767649,2.79,3.8,19.0,2
CCU_94,102.12,76.4,438662,3.12,4.8,36.6,0
CCU_95,92.28,81.99,523022,3.26,5.7,27.3,1
CCU_96,84.25,88.26,493403,2.99,1.0,26.6,3
CCU_97,123.87,82.69,515661,3.12,3.7,25.0,0
CCU_98,92.08,79.54,334761,3.24,7.5,23.3,1
CCU_99,112.07,84.47,329589,2.96,1.0,30.9,1
CCU_100,79.91,86.71,541195,2.84,5.7,21.4,3
